price,mileage,engineSize,transmission,fuelType,link,imageLink
£650,132000,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212292830626?exclude-writeoff-categories=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2005&make=Ford&radius=1501&advertising-location=at_cars&model=Fiesta&postcode=tq122pu&year-to=2005&sort=relevance&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/fe157fe9ac154081a0312b17ffbc225a.jpg
£995,115000,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212242758869?exclude-writeoff-categories=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2005&make=Ford&radius=1501&advertising-location=at_cars&model=Fiesta&postcode=tq122pu&year-to=2005&sort=relevance&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/a142f4bd6ae44fcea34a635b198938b0.jpg
£2295,49500,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212132491333?exclude-writeoff-categories=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2005&make=Ford&radius=1501&advertising-location=at_cars&model=Fiesta&postcode=tq122pu&year-to=2005&sort=relevance&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/ea859ab3138c4ee7bd7198ce1f669fd0.jpg
£1125,92893,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212202665109?exclude-writeoff-categories=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2005&make=Ford&radius=1501&advertising-location=at_cars&model=Fiesta&postcode=tq122pu&year-to=2005&sort=relevance&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/bdedd714207a4212a59e2d8a7d13a080.jpg
£1490,97000,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202210241014405?exclude-writeoff-categories=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2005&make=Ford&radius=1501&advertising-location=at_cars&model=Fiesta&postcode=tq122pu&year-to=2005&sort=relevance&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/5047bbd3175d4838b981c78ccc41d848.jpg
£1195,83000,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202207137763137?exclude-writeoff-categories=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2005&make=Ford&radius=1501&advertising-location=at_cars&model=Fiesta&postcode=tq122pu&year-to=2005&sort=relevance&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/b7685850a0d34a9bb892de26adfbb2d5.jpg
£1690,94259,1.6L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212142526284?exclude-writeoff-categories=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2005&make=Ford&radius=1501&advertising-location=at_cars&model=Fiesta&postcode=tq122pu&year-to=2005&sort=relevance&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/0cc54a07e1284f8da4f0b178de17d452.jpg
£2495,95578,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212192626754?exclude-writeoff-categories=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2005&make=Ford&radius=1501&advertising-location=at_cars&model=Fiesta&postcode=tq122pu&year-to=2005&sort=relevance&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/2bd0bf4bf97b4cdd9e8e44b9ee8b725f.jpg
£850,120000,1.2L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212212687920?exclude-writeoff-categories=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2005&make=Ford&radius=1501&advertising-location=at_cars&model=Fiesta&postcode=tq122pu&year-to=2005&sort=relevance&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/f86acb5d75354d1aaa6a45a5b3a7dfc6.jpg
£1490,113620,1.6L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202201171447932?exclude-writeoff-categories=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2005&make=Ford&radius=1501&advertising-location=at_cars&model=Fiesta&postcode=tq122pu&year-to=2005&sort=relevance&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/32b4747d3f1c4950a4ccd7ff6480cd3a.jpg
£29995,200PS,Manual,First year road tax included,Full manufacturer warranty,https://www.autotrader.co.uk/car-details/202208239042802?exclude-writeoff-categories=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2005&make=Ford&radius=1501&advertising-location=at_cars&model=Fiesta&postcode=tq122pu&year-to=2005&sort=relevance&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/184721e21dd34007a40d64b4d85eb196.jpg
