price,mileage,engineSize,transmission,fuelType,link,imageLink
1290,104000,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212292835891?include-delivery-option=on&model=Fiesta&radius=1500&postcode=tq122pu&exclude-writeoff-categories=on&make=Ford&sort=relevance&advertising-location=at_cars&year-to=2006&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&page=2,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/c9a1c3d37b28489989e221a22afd110b.jpg
1995,100000,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212102432067?include-delivery-option=on&model=Fiesta&radius=1500&postcode=tq122pu&exclude-writeoff-categories=on&make=Ford&sort=relevance&advertising-location=at_cars&year-to=2006&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&page=2,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/c3aaec2010774d978cfdeda1cd5fc772.jpg
2450,50000,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202211111596424?include-delivery-option=on&model=Fiesta&radius=1500&postcode=tq122pu&exclude-writeoff-categories=on&make=Ford&sort=relevance&advertising-location=at_cars&year-to=2006&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&page=2,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/c5b28e47812d4806aca20356704efadd.jpg
1095,93000,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212302842566?include-delivery-option=on&model=Fiesta&radius=1500&postcode=tq122pu&exclude-writeoff-categories=on&make=Ford&sort=relevance&advertising-location=at_cars&year-to=2006&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&page=2,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/a63e31d4f7424d0eaf73e2c56e8825f4.jpg
2475,61000,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212302853611?include-delivery-option=on&model=Fiesta&radius=1500&postcode=tq122pu&exclude-writeoff-categories=on&make=Ford&sort=relevance&advertising-location=at_cars&year-to=2006&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&page=2,https://www.autotrader.co.uk/images/noimage/no_image_266x200.png
1680,99800,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212182599303?include-delivery-option=on&model=Fiesta&radius=1500&postcode=tq122pu&exclude-writeoff-categories=on&make=Ford&sort=relevance&advertising-location=at_cars&year-to=2006&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&page=2,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/e3ae847e8b834e299c5e3fd021d7e26c.jpg
1895,101425,1.2L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202210281161336?include-delivery-option=on&model=Fiesta&radius=1500&postcode=tq122pu&exclude-writeoff-categories=on&make=Ford&sort=relevance&advertising-location=at_cars&year-to=2006&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&page=2&percentVehiclePriceDeposit=true,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/e5b68eb527bd40fcb732f30bee8f4830.jpg
2495,67181,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212212695086?include-delivery-option=on&model=Fiesta&radius=1500&postcode=tq122pu&exclude-writeoff-categories=on&make=Ford&sort=relevance&advertising-location=at_cars&year-to=2006&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&page=2&journey=PROMOTED_LISTING_JOURNEY,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/fd79e3d1a9f24bb5b6d563ed23b6ff6e.jpg
2495,55906,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212292829698?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1500&model=Fiesta&year-to=2006&include-delivery-option=on&postcode=tq122pu&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=3,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/54a0fb1c881044189f3ca7472330573f.jpg
1285,131345,1.2L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202211181807224?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1500&model=Fiesta&year-to=2006&include-delivery-option=on&postcode=tq122pu&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=3,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/032745946c38463fa0cfe8fddafd05e9.jpg
2290,89000,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202211111594143?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1500&model=Fiesta&year-to=2006&include-delivery-option=on&postcode=tq122pu&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=3,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/434c16e62ac1435b82bb056166c233f1.jpg
2949,69000,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202210040405513?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1500&model=Fiesta&year-to=2006&include-delivery-option=on&postcode=tq122pu&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=3,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/2249f954ff4a435a8c2e1f19bf27eed4.jpg
2495,40000,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202211101562060?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1500&model=Fiesta&year-to=2006&include-delivery-option=on&postcode=tq122pu&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=3,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/eb7846b3478e4beab0dfeaa1c9375bcd.jpg
2500,61348,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212192623119?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1500&model=Fiesta&year-to=2006&include-delivery-option=on&postcode=tq122pu&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=3,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/0f4df293b7524affb327eaafde50229d.jpg
