price,mileage,engineSize,transmission,fuelType,link,imageLink
995,115000,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212242758869?model=Fiesta&radius=1501&postcode=tq122pu&year-to=2005&exclude-writeoff-categories=on&make=Ford&sort=relevance&year-from=2005&advertising-location=at_cars&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/a142f4bd6ae44fcea34a635b198938b0.jpg
2295,49658,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212132491333?model=Fiesta&radius=1501&postcode=tq122pu&year-to=2005&exclude-writeoff-categories=on&make=Ford&sort=relevance&year-from=2005&advertising-location=at_cars&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/ea859ab3138c4ee7bd7198ce1f669fd0.jpg
1125,92893,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212202665109?model=Fiesta&radius=1501&postcode=tq122pu&year-to=2005&exclude-writeoff-categories=on&make=Ford&sort=relevance&year-from=2005&advertising-location=at_cars&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/bdedd714207a4212a59e2d8a7d13a080.jpg
1690,94259,1.6L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212142526284?model=Fiesta&radius=1501&postcode=tq122pu&year-to=2005&exclude-writeoff-categories=on&make=Ford&sort=relevance&year-from=2005&advertising-location=at_cars&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/0cc54a07e1284f8da4f0b178de17d452.jpg
1195,83000,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202207137763137?model=Fiesta&radius=1501&postcode=tq122pu&year-to=2005&exclude-writeoff-categories=on&make=Ford&sort=relevance&year-from=2005&advertising-location=at_cars&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/b7685850a0d34a9bb892de26adfbb2d5.jpg
1490,97000,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202210241014405?model=Fiesta&radius=1501&postcode=tq122pu&year-to=2005&exclude-writeoff-categories=on&make=Ford&sort=relevance&year-from=2005&advertising-location=at_cars&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/5047bbd3175d4838b981c78ccc41d848.jpg
2495,95578,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212192626754?model=Fiesta&radius=1501&postcode=tq122pu&year-to=2005&exclude-writeoff-categories=on&make=Ford&sort=relevance&year-from=2005&advertising-location=at_cars&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/2bd0bf4bf97b4cdd9e8e44b9ee8b725f.jpg
1375,76295,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212302851428?model=Fiesta&radius=1501&postcode=tq122pu&year-to=2005&exclude-writeoff-categories=on&make=Ford&sort=relevance&year-from=2005&advertising-location=at_cars&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/e0f3252583c649ae8974869e2ce77c38.jpg
850,120000,1.2L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212212687920?model=Fiesta&radius=1501&postcode=tq122pu&year-to=2005&exclude-writeoff-categories=on&make=Ford&sort=relevance&year-from=2005&advertising-location=at_cars&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/f86acb5d75354d1aaa6a45a5b3a7dfc6.jpg
1490,113620,1.6L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202201171447932?model=Fiesta&radius=1501&postcode=tq122pu&year-to=2005&exclude-writeoff-categories=on&make=Ford&sort=relevance&year-from=2005&advertising-location=at_cars&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=1,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/32b4747d3f1c4950a4ccd7ff6480cd3a.jpg
2295,87979,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212072354604?include-delivery-option=on&model=Fiesta&radius=1500&postcode=tq122pu&exclude-writeoff-categories=on&make=Ford&sort=relevance&advertising-location=at_cars&year-to=2005&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2005&page=2,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/28c6f2cf6b414228a00c074be8f6a1d9.jpg
1890,76623,1.2L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202210271119324?include-delivery-option=on&model=Fiesta&radius=1500&postcode=tq122pu&exclude-writeoff-categories=on&make=Ford&sort=relevance&advertising-location=at_cars&year-to=2005&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2005&page=2,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/23f8ef4677b04b128e847e8fc550b82f.jpg
